Subdivision,Total Living Area SqFt,Year Built,Bedrooms,Full Baths,Half Baths,Property Type,List Price,Sold Price,Acres,Approx Lot SqFt,Approximate Acres,Basement,Construction Type,Days On Market,Closing Date,Fireplace,Garage,HOA 1 Fees Required,Internet Listing,List Date,Master Bedroom 1st Floor,New Construction,Total Baths,Zip,Inside City,HOA Y/N,Elementary School 1,High School 1,Middle School 1,City,Restrictive Covenants
Cardinal Oaks,"1,730",2018,3,2,1,Detached,"$339,000","$346,100",0-.25 Acres,"5,662.80",0.13,No,Site Built,4,9/14/2021,1,2,Yes,Yes,8/6/2021,No,No,3,27704,Yes,Yes,Durham - Merrick-Moore,Durham - Southern,Durham - Neal,Durham,Yes
Seven Oaks,"1,065",1985,2,1,0,Attached,"$180,000","$185,000",0-.25 Acres,"2,178.00",0.05,No,Site Built,3,9/14/2021,1,0,Yes,Yes,8/11/2021,Yes,No,1,27713,Yes,Yes,Durham - Southwest,Durham - Hillside,Durham - Githens,Durham,Yes
Royal Troon,"2,664",2003,4,3,1,Attached,"$465,000","$465,000",0-.25 Acres,"5,662.80",0.13,No,Site Built,5,9/14/2021,1,2,Yes,Yes,7/8/2021,Yes,No,4,27712,Yes,Yes,Durham - Easley,Durham - Riverside,Durham - Carrington,Durham,Yes
Bullington Warehouse Condo,"1,019",1984,2,1,0,Condo,"$383,900","$374,000",0-.25 Acres,0.00,0.0,No,Site Built,48,9/14/2021,0,0,Yes,Yes,7/1/2021,Yes,No,1,27701,Yes,Yes,Durham - E.K. Powe,Durham - Riverside,Durham - Brogden,Durham,Yes
Stone Village,"1,230",1984,2,2,0,Condo,"$179,000","$177,000",0-.25 Acres,"1,393.92",0.032,No,Site Built,11,9/14/2021,1,0,Yes,Yes,7/11/2021,No,No,2,27704,Yes,Yes,Durham - Holt,Durham - Riverside,Durham - Carrington,Durham,Yes
Parkwood,"1,293",1963,3,2,0,Detached,"$317,500","$330,000",.26-.5 Acres,"11,848.32",0.272,No,Site Built,3,9/14/2021,0,0,Yes,Yes,8/4/2021,Yes,No,2,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Duke Tower Condominiums,551,1972,1,1,0,Condo,"$195,000","$184,000",0-.25 Acres,0.00,0.0,No,Site Built,6,9/14/2021,0,0,Yes,Yes,7/21/2021,No,No,1,27701,Yes,Yes,Durham - E.K. Powe,Durham - Riverside,Durham - Brogden,Durham,Yes
Not in a Subdivision,"1,157",1984,4,2,0,Detached,"$235,000","$255,100",0-.25 Acres,"7,405.20",0.17,No,Site Built,10,9/14/2021,0,0,,Yes,7/24/2021,Yes,No,2,27704,Yes,,Durham - Glenn,Durham - Northern,Durham - Lucas,Durham,No
Winsford at the Park,"1,625",2017,3,2,1,Attached,"$320,000","$366,303",0-.25 Acres,"3,702.60",0.085,No,Site Built,0,9/14/2021,0,1,Yes,Yes,7/30/2021,No,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Creekside at Bethpage,"1,522",2021,2,2,0,Attached,"$425,044","$425,044",0-.25 Acres,"3,528.36",0.081,No,Site Built,0,9/15/2021,0,2,Yes,Yes,4/29/2021,Yes,Yes,2,27703,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Parkwood,"1,595",1963,3,2,0,Detached,"$314,900","$365,000",.26-.5 Acres,"13,503.60",0.31,No,Site Built,3,9/15/2021,0,1,Yes,Yes,8/11/2021,Yes,No,2,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"1,350",1945,1,2,0,Detached,"$79,900","$140,000",0-.25 Acres,"19,166.40",0.44,No,Site Built,17,9/15/2021,0,0,,Yes,4/7/2021,Yes,No,2,27713,No,,Durham - Southwest,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Sunningdale,"1,535",1992,3,2,0,Detached,"$350,000","$385,000",0-.25 Acres,"10,890.00",0.25,No,Site Built,3,9/15/2021,1,2,Yes,Yes,7/30/2021,Yes,No,2,27707,Yes,,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,Yes
Colony Park,"2,113",1969,4,2,1,Detached,"$495,000","$555,000",.51-.75 Acres,"26,571.60",0.61,No,Site Built,4,9/15/2021,2,1,Yes,Yes,8/13/2021,Yes,No,3,27705,No,Yes,Durham - Forest View,Durham - Jordan,Durham - Githens,Durham,Yes
Alexander Place,"1,905",2021,3,2,1,Attached,"$367,555","$367,555",0-.25 Acres,"3,136.32",0.072,No,Site Built,0,9/15/2021,0,2,Yes,Yes,7/13/2021,No,Yes,3,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Ashley Forest,"2,665",1990,3,2,1,Detached,"$385,000","$425,000",0-.25 Acres,"10,193.04",0.234,No,Site Built,5,9/15/2021,1,2,Yes,Yes,8/12/2021,No,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Trinity Park,"1,010",1945,2,1,0,Condo,"$349,000","$330,000",0-.25 Acres,0.00,0.0,No,Site Built,39,9/15/2021,0,0,Yes,Yes,6/24/2021,Yes,No,1,27701-1702,Yes,Yes,Durham - E.K. Powe,Durham - Riverside,Durham - Brogden,Durham,Yes
Hope Valley Farms,"2,438",1998,4,2,1,Detached,"$419,999","$425,000",0-.25 Acres,"8,712.00",0.2,No,Site Built,9,9/15/2021,1,2,Yes,Yes,8/5/2021,No,No,3,27713,Yes,,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,Yes
Not in a Subdivision,"4,208",2002,3,3,1,Detached,"$894,900","$890,000",3-5.9 Acres,"156,380.40",3.59,No,Site Built,3,9/15/2021,1,5,,Yes,8/11/2021,Yes,No,4,27705,No,,Orange - River Park,Orange - Orange,Orange - Orange,Durham,No
Creekside Commons,"2,339",2021,3,3,1,Attached,"$354,535","$355,440",0-.25 Acres,"3,441.24",0.079,No,Site Built,0,9/15/2021,0,2,Yes,No,2/21/2021,No,Yes,4,27707,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Popes Crossing,"1,570",1987,3,2,1,Detached,"$350,000","$466,253",.26-.5 Acres,"11,499.84",0.264,No,Site Built,26,9/15/2021,1,0,Yes,Yes,6/28/2021,No,No,3,27707-9770,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Croasdaile Farm,"2,903",2021,3,2,2,Attached,"$620,682","$620,682",0-.25 Acres,"5,096.52",0.117,No,Site Built,0,9/15/2021,1,2,Yes,Yes,9/4/2020,Yes,Yes,4,27705,Yes,Yes,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Greycliff,"1,868",1997,4,2,1,Detached,"$299,000","$330,000",0-.25 Acres,"10,454.40",0.24,No,Site Built,3,9/15/2021,1,1,Yes,Yes,8/17/2021,No,No,3,27703-3691,Yes,Yes,Durham - Oakgrove,Durham - Southern,Durham - Neal,Durham,Yes
Hidden Valley,"1,500",2021,3,2,0,Detached,"$345,000","$330,000",.51-.75 Acres,"22,956.12",0.527,No,Site Built,0,9/15/2021,0,0,,Yes,7/8/2021,Yes,Yes,2,27712,Yes,No,Durham - Eno Valley,Durham - Northern,Durham - Carrington,Durham,No
Grandale,"5,223",2009,4,4,0,Detached,"$710,000","$710,000",.26-.5 Acres,"20,037.60",0.46,No,Site Built,35,9/15/2021,2,2,Yes,Yes,6/18/2021,No,No,4,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Lochside,"1,333",2005,3,2,1,Attached,"$313,300","$312,000",0-.25 Acres,"1,481.04",0.034,No,Site Built,6,9/15/2021,1,0,Yes,Yes,8/11/2021,No,No,3,27713,Yes,,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Orchard Ridge,"2,395",2013,3,2,1,Detached,"$420,000","$440,000",0-.25 Acres,"5,662.80",0.13,No,Site Built,2,9/15/2021,1,2,Yes,Yes,8/13/2021,No,No,3,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Pagehurst,"1,583",2000,4,2,0,Detached,"$240,000","$275,000",.26-.5 Acres,"11,325.60",0.26,Yes,Site Built,0,9/15/2021,0,0,Yes,Yes,8/23/2021,Yes,No,2,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Boulevard Heights,940,1962,3,1,0,Detached,"$165,000","$166,000",0-.25 Acres,"8,058.60",0.185,No,Site Built,5,9/15/2021,0,0,,Yes,8/25/2021,Yes,No,1,27704-4544,Yes,,Durham - Glenn,Durham - Northern,Durham - Carrington,Durham,No
Not in a Subdivision,"1,577",2021,3,2,0,Detached,"$537,000","$555,284",.26-.5 Acres,"14,810.40",0.34,No,Site Built,0,9/15/2021,0,0,,Yes,8/7/2020,Yes,Yes,2,27701,Yes,,Durham - E.K. Powe,Durham - Riverside,Durham - Brogden,Durham,No
Crystal Lake Townhomes,"1,401",1998,3,2,0,Attached,"$199,000","$219,000",.26-.5 Acres,"1,742.40",0.04,No,Site Built,0,9/15/2021,0,0,Yes,Yes,7/8/2021,Yes,No,2,27705,Yes,Yes,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Greenwood,"1,590",1988,3,3,0,Detached,"$279,900","$284,370",.26-.5 Acres,"14,941.08",0.343,No,Site Built,10,9/15/2021,1,0,,Yes,7/29/2021,No,No,3,27703,No,No,Durham - Oakgrove,Durham - Southern,Durham - Neal,Durham,Yes
Carolina Arbors,"1,600",2013,2,2,0,Detached,"$415,000","$440,000",0-.25 Acres,"5,357.88",0.123,No,Site Built,7,9/15/2021,0,2,Yes,Yes,7/29/2021,Yes,No,2,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Settlers Point,"1,568",1997,3,2,1,Detached,"$350,000","$370,000",.26-.5 Acres,"12,196.80",0.28,No,Site Built,2,9/15/2021,1,2,,Yes,8/12/2021,No,No,3,27713,Yes,No,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Woodcroft,"2,219",1986,4,2,1,Detached,"$489,000","$489,000",.26-.5 Acres,"12,196.80",0.28,No,Site Built,8,9/15/2021,1,1,Yes,Yes,7/15/2021,No,No,3,27712,Yes,Yes,Durham - Southwest,Durham - Jordan,Durham - Githens,Durham,Yes
Sherron Farms,"2,283",2019,4,2,1,Detached,"$420,000","$438,000",0-.25 Acres,"6,229.08",0.143,No,Site Built,1,9/15/2021,1,2,Yes,Yes,8/10/2021,No,No,3,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Woodbridge Villas,"1,440",1981,2,1,1,Attached,"$220,000","$218,500",0-.25 Acres,"2,613.60",0.06,No,Site Built,4,9/15/2021,1,0,Yes,Yes,7/30/2021,No,No,2,27707,Yes,Yes,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,Yes
Stratton Park,"1,144",1996,3,2,0,Detached,"$225,000","$250,000",0-.25 Acres,"6,795.36",0.156,No,Site Built,5,9/15/2021,0,0,,Yes,8/11/2021,Yes,No,2,27704,Yes,,Durham - Holt,Durham - Riverside,Durham - Carrington,Durham,No
Not in a Subdivision,"1,953",1950,3,1,1,Detached,"$300,000","$295,000",1-2.9 Acres,"85,377.60",1.96,No,Site Built,17,9/15/2021,1,2,,Yes,7/16/2021,Yes,No,2,27704-8598,No,,Durham - Merrick-Moore,Durham - Southern,Durham - Neal,Durham,No
Park Place Townhomes,883,1988,2,1,0,Attached,"$169,900","$190,000",0-.25 Acres,"4,399.56",0.101,No,Site Built,2,9/15/2021,0,1,Yes,Yes,8/14/2021,Yes,No,1,27703,Yes,Yes,Durham - Oakgrove,Durham - Southern,Durham - Neal,Durham,Yes
Lakeshore,"2,118",2020,4,3,0,Detached,"$434,900","$435,000",0-.25 Acres,"6,316.20",0.145,No,Site Built,9,9/15/2021,0,2,Yes,Yes,7/27/2021,No,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Courtyards at Southpoint,"1,892",2021,2,2,0,Detached,"$513,735","$513,735",0-.25 Acres,"8,145.72",0.187,No,Site Built,0,9/15/2021,1,2,Yes,Yes,9/14/2021,Yes,Yes,2,27713,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Lowes Grove,Durham,Yes
Parkwood,"1,195",1972,3,2,0,Detached,"$279,000","$285,000",.26-.5 Acres,"16,552.80",0.38,No,Site Built,6,9/15/2021,1,0,Yes,Yes,8/10/2021,Yes,No,2,27713,Yes,,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Croasdaile Farms,"5,306",2006,4,4,2,Detached,"$1,600,000","$1,699,250",1-2.9 Acres,"54,014.40",1.24,No,Site Built,1,9/16/2021,1,3,Yes,Yes,7/28/2021,Yes,No,6,27705-1382,Yes,,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Longview,"1,877",2019,3,2,1,Attached,"$380,000","$390,000",0-.25 Acres,"1,698.84",0.039,No,Site Built,12,9/16/2021,1,1,Yes,Yes,7/29/2021,No,No,3,27705,Yes,Yes,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Not in a Subdivision,"1,386",2002,4,2,0,Detached,"$325,000","$303,000",0-.25 Acres,"5,009.40",0.115,No,Site Built,7,9/16/2021,0,0,,Yes,6/27/2021,Yes,No,2,27701,Yes,,Durham - Eastway,Durham - Northern,Durham - Lucas,Durham,No
Lochside,"1,461",2005,3,2,1,Attached,"$305,200","$295,000",0-.25 Acres,"2,003.76",0.046,No,Site Built,51,9/16/2021,1,0,Yes,Yes,6/27/2021,No,No,3,27713,Yes,,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Chelsea Meadows,"3,073",2008,5,2,1,Detached,"$525,000","$535,500",0-.25 Acres,"8,929.80",0.205,No,Site Built,6,9/16/2021,1,2,Yes,Yes,7/28/2021,No,No,3,27713,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,No
Swanns Mill,"1,560",2013,3,2,1,Attached,"$229,000","$250,000",0-.25 Acres,"1,219.68",0.028,No,Site Built,4,9/16/2021,0,0,Yes,Yes,8/20/2021,Yes,No,3,27704,Yes,Yes,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,Yes
Yorkfield,"1,259",1999,3,2,0,Detached,"$249,000","$295,000",0-.25 Acres,"7,623.00",0.175,No,Site Built,2,9/16/2021,0,0,,Yes,8/10/2021,Yes,No,2,27713,Yes,No,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,No
Ellis Crossing,"3,267",2019,5,4,0,Detached,"$500,000","$570,000",0-.25 Acres,"6,969.60",0.16,No,Site Built,4,9/16/2021,0,2,Yes,Yes,7/29/2021,No,No,4,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Rockwood,"1,890",1985,3,2,0,Detached,"$564,000","$599,250",.26-.5 Acres,"13,503.60",0.31,No,Site Built,6,9/16/2021,1,2,,Yes,8/3/2021,Yes,No,2,27707,Yes,No,Durham - Lakewood,Durham - Jordan,Durham - Githens,Durham,Yes
Treyburn,"2,051",2018,3,2,1,Attached,"$325,000","$456,900",0-.25 Acres,"4,486.68",0.103,No,Site Built,17,9/16/2021,1,2,Yes,Yes,8/14/2021,No,No,3,27712,Yes,Yes,Durham - Little River,Durham - Northern,Durham - Lucas,Durham,Yes
Not in a Subdivision,"1,751",1960,3,2,1,Detached,"$495,000","$551,000",.26-.5 Acres,"11,761.20",0.27,Yes,Site Built,1,9/16/2021,0,1,No,Yes,8/19/2021,No,No,3,27707,Yes,No,Durham - Lakewood,Durham - Jordan,Durham - Githens,Durham,No
Highland Park,"1,806",2021,3,2,1,Attached,"$298,495","$298,495",0-.25 Acres,"3,049.20",0.07,No,Site Built,0,9/16/2021,0,1,Yes,Yes,12/7/2020,Yes,Yes,3,27713,Yes,Yes,Durham - Southwest,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Northgate Park,863,1946,2,1,0,Detached,"$249,500","$265,000",0-.25 Acres,"6,969.60",0.16,No,Site Built,2,9/16/2021,0,0,,Yes,8/13/2021,Yes,No,1,27704,Yes,,Durham - Holt,Durham - Riverside,Durham - Carrington,Durham,No
Auburn Ridge,"2,008",2004,3,2,1,Detached,"$345,000","$381,000",0-.25 Acres,"5,662.80",0.13,No,Site Built,1,9/16/2021,1,2,Yes,Yes,8/5/2021,Yes,No,3,27713,No,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,No
Creekside Commons,"1,978",2021,3,2,1,Attached,"$322,665","$322,790",0-.25 Acres,"2,178.00",0.05,No,Site Built,0,9/16/2021,0,2,Yes,No,11/4/2020,No,Yes,3,27707,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Stone Hill Estates,"1,430",2002,3,2,1,Detached,"$249,900","$258,000",0-.25 Acres,"6,534.00",0.15,No,Site Built,5,9/16/2021,1,0,Yes,Yes,8/17/2021,No,No,3,27703,Yes,,Wake - Oak Grove,Durham - Southern,Durham - Neal,Durham,Yes
Woodcrest,"1,248",2021,4,2,0,Detached,"$247,500","$247,500",0-.25 Acres,"9,583.20",0.22,No,Site Built,0,9/16/2021,0,0,,Yes,4/30/2021,Yes,Yes,2,27703,Yes,No,Durham - Merrick-Moore,Durham - Southern,Durham - Neal,Durham,No
Ellis Crossing,"2,200",2019,3,2,1,Attached,"$390,000","$412,000",0-.25 Acres,"3,484.80",0.08,No,Site Built,3,9/16/2021,0,2,Yes,Yes,8/10/2021,Yes,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"1,270",2021,3,2,0,Detached,"$335,000","$335,000",0-.25 Acres,"3,005.64",0.069,No,Site Built,0,9/17/2021,0,0,,Yes,8/18/2021,Yes,Yes,2,27703,Yes,,Durham - Y E Smith,Durham - Southern,Durham - Neal,Durham,Yes
Pine Grove Park,"1,003",1930,2,1,0,Detached,"$155,000","$145,000",0-.25 Acres,"7,666.56",0.176,No,Site Built,1,9/17/2021,0,0,,Yes,8/31/2021,Yes,No,1,27701,Yes,,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,No
Lakeshore,"2,195",2021,3,2,0,Detached,"$414,220","$414,220",0-.25 Acres,"9,452.52",0.217,No,Site Built,0,9/17/2021,0,2,Yes,Yes,6/16/2021,Yes,Yes,2,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Elliott Square,"1,847",2020,2,3,1,Attached,"$539,000","$566,740",0-.25 Acres,"1,306.80",0.03,No,Site Built,0,9/17/2021,0,1,Yes,Yes,1/4/2020,No,Yes,4,27701,Yes,Yes,Durham - Eastway,Durham - Northern,Durham - Brogden,Durham,Yes
Not in a Subdivision,"2,783",1976,3,3,0,Detached,"$725,000","$725,000",6-10.9 Acres,"398,791.80",9.155,Yes,Site Built,522,9/17/2021,1,1,,Yes,4/27/2017,Yes,No,3,27703,Yes,,Durham - Bethesda,Durham - Southern,Durham - Lowes Grove,Durham,No
Not in a Subdivision,"1,629",1983,3,2,0,Detached,"$325,000","$328,000",.26-.5 Acres,"16,988.40",0.39,No,Site Built,0,9/17/2021,1,0,,Yes,7/26/2021,No,No,2,27705,Yes,No,Durham - Holt,Durham - Riverside,Durham - Brogden,Durham,No
Not in a Subdivision,"1,046",1945,3,2,0,Detached,"$250,000","$238,000",0-.25 Acres,"6,882.48",0.158,No,Site Built,70,9/17/2021,0,0,,Yes,4/26/2021,Yes,No,2,27704,Yes,No,Durham - Eno Valley,Durham - Northern,Durham - Carrington,Durham,No
Not in a Subdivision,"1,325",1931,2,2,0,Detached,"$300,000","$310,000",3-5.9 Acres,"135,471.60",3.11,No,Site Built,2,9/17/2021,1,0,,Yes,7/26/2021,Yes,No,2,27705,No,,Orange - New Hope,Orange - Cedar Ridge,Orange - A L Stanback,Durham,No
Brandon Ridge Spring Hill,745,1986,1,1,0,Condo,"$150,000","$138,000",0-.25 Acres,0.00,0.0,No,Site Built,2,9/17/2021,1,0,Yes,Yes,8/3/2021,Yes,No,1,27713,No,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Woodcroft,"2,277",1985,4,2,1,Detached,"$427,000","$475,000",.26-.5 Acres,"20,473.20",0.47,No,Site Built,3,9/17/2021,1,2,Yes,Yes,8/22/2021,No,No,3,27713-9338,Yes,Yes,Durham - Southwest,Durham - Jordan,Durham - Githens,Durham,Yes
Not in a Subdivision,"1,112",1940,3,1,0,Detached,"$243,000","$240,000",0-.25 Acres,"7,100.28",0.163,No,Site Built,12,9/17/2021,0,0,,Yes,7/29/2021,Yes,No,1,27707,Yes,,Durham - Spaulding,Durham - Hillside,Durham - Brogden,Durham,No
Enclave,"2,056",2021,2,2,0,Detached,"$454,940","$455,280",0-.25 Acres,"7,797.24",0.179,No,Site Built,0,9/17/2021,0,2,Yes,Yes,1/21/2021,Yes,Yes,2,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Sherwood Forest,823,1940,2,1,0,Detached,"$134,900","$120,000",0-.25 Acres,"8,712.00",0.2,No,Site Built,6,9/17/2021,0,0,,Yes,8/22/2021,Yes,No,1,27701,Yes,,Durham - Eastway,Durham - Northern,Durham - Lucas,Durham,No
Elliott Square,"1,870",2021,2,3,1,Attached,"$559,000","$588,000",0-.25 Acres,"2,178.00",0.05,No,Site Built,0,9/17/2021,0,1,Yes,Yes,2/23/2020,No,Yes,4,27701,Yes,Yes,Durham - Eastway,Durham - Northern,Durham - Brogden,Durham,Yes
Not in a Subdivision,"1,860",1933,3,1,1,Detached,"$450,000","$490,000",0-.25 Acres,"9,147.60",0.21,Yes,Site Built,2,9/17/2021,1,0,,Yes,7/21/2021,No,No,2,27701,Yes,No,Durham - E.K. Powe,Durham - Riverside,Durham - Brogden,Durham,No
Greenwood,"2,037",1984,4,2,1,Detached,"$255,000","$290,000",.26-.5 Acres,"16,988.40",0.39,No,Site Built,3,9/17/2021,1,1,,Yes,7/19/2021,No,No,3,27703,No,No,Durham - Oakgrove,Durham - Southern,Durham - Neal,Durham,No
Lawndale Acres,"1,180",1954,2,1,0,Detached,"$95,000","$110,000",0-.25 Acres,"9,147.60",0.21,No,Site Built,13,9/17/2021,0,0,,Yes,8/9/2021,Yes,No,1,27704,No,,Durham - Glenn,Durham - Northern,Durham - Lucas,Durham,No
Milton Forest,"2,171",1969,3,2,1,Detached,"$300,000","$335,000",.51-.75 Acres,"31,232.52",0.717,No,Site Built,5,9/17/2021,1,2,,Yes,8/15/2021,No,No,3,27712,No,No,Durham - Little River,Durham - Northern,Durham - Carrington,Durham,Yes
Carillon Forest,"2,996",2011,4,2,1,Detached,"$575,000","$565,000",.26-.5 Acres,"12,632.40",0.29,No,Site Built,18,9/17/2021,1,2,Yes,Yes,7/28/2021,No,No,3,27705,Yes,Yes,Durham - Forest View,Durham - Jordan,Durham - Githens,Durham,Yes
Courtyards at Southpoint,"1,775",2021,3,3,0,Detached,"$604,905","$604,905",0-.25 Acres,"7,318.08",0.168,No,Site Built,0,9/17/2021,1,2,Yes,Yes,9/16/2021,Yes,Yes,3,27713,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"1,811",1965,4,2,0,Detached,"$349,900","$349,900",.26-.5 Acres,"20,908.80",0.48,No,Site Built,10,9/17/2021,1,0,No,Yes,7/26/2021,Yes,No,2,27703,No,,Durham - Oakgrove,Durham - Southern,Durham - Neal,Durham,No
To Be Added,"2,419",2021,4,2,1,Detached,"$490,200","$490,200",0-.25 Acres,"10,890.00",0.25,No,Site Built,0,9/17/2021,0,2,Yes,Yes,6/23/2021,No,Yes,3,27712,No,Yes,Durham - Eno Valley,Durham - Northern,Durham - Carrington,Durham,Yes
Magnolia Creek,"1,440",2021,3,2,0,Detached,"$239,990","$253,365",0-.25 Acres,"7,405.20",0.17,No,Site Built,0,9/17/2021,0,2,Yes,No,1/7/2021,No,Yes,2,27704,Yes,Yes,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,Yes
Bon Air,"1,185",1989,3,2,0,Detached,"$335,000","$335,000",0-.25 Acres,"10,890.00",0.25,No,Site Built,10,9/20/2021,1,0,,Yes,8/15/2021,Yes,No,2,27704-3212,Yes,,Durham - Glenn,Durham - Northern,Durham - Carrington,Durham,No
Not in a Subdivision,"1,211",1946,3,1,0,Detached,"$295,000","$295,000",0-.25 Acres,"6,098.40",0.14,No,Site Built,2,9/20/2021,0,1,,Yes,8/19/2021,Yes,No,1,27704,Yes,No,Durham - Glenn,Durham - Riverside,Durham - Brogden,Durham,No
Fletcher Hills,"1,401",1964,3,1,1,Detached,"$290,000","$290,000",.26-.5 Acres,"20,037.60",0.46,No,Site Built,7,9/20/2021,0,0,,Yes,8/9/2021,Yes,No,2,27703,No,No,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,No
The Oaks at Hope Valley,"1,507",1999,2,2,0,Attached,"$249,000","$281,000",0-.25 Acres,"1,742.40",0.04,Yes,Site Built,3,9/20/2021,1,0,Yes,Yes,8/25/2021,No,No,2,27707,Yes,Yes,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,Yes
Ellis Crossing,"2,227",2021,4,3,1,Attached,"$371,058","$372,598",0-.25 Acres,"2,178.00",0.05,No,Site Built,0,9/20/2021,0,2,Yes,Yes,2/25/2021,No,Yes,4,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Fisher Heights,"1,176",1979,4,1,0,Detached,"$249,900","$256,900",0-.25 Acres,"8,712.00",0.2,No,Site Built,3,9/20/2021,0,0,,Yes,8/20/2021,Yes,No,1,27707,Yes,No,Durham - Fayetteville,Durham - Hillside,Durham - Lowes Grove,Durham,No
Woodcroft,"1,537",1985,3,2,1,Attached,"$224,500","$258,632",0-.25 Acres,"1,393.92",0.032,No,Site Built,4,9/20/2021,1,0,Yes,Yes,8/9/2021,No,No,3,27713,Yes,Yes,Durham - Southwest,Durham - Jordan,Durham - Githens,Durham,Yes
Southern Pointe Townhomes,"1,732",2019,3,2,1,Attached,"$310,000","$351,500",0-.25 Acres,"2,047.32",0.047,No,Site Built,4,9/20/2021,0,1,Yes,Yes,7/27/2021,No,No,3,27713,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,886,1938,2,1,0,Detached,"$210,000","$210,000",0-.25 Acres,"7,056.72",0.162,No,Site Built,15,9/20/2021,0,0,,Yes,7/29/2021,Yes,No,1,27704-2837,Yes,No,Durham - Eno Valley,Durham - Northern,Durham - Carrington,Durham,No
Not in a Subdivision,"1,516",2021,3,2,1,Detached,"$346,000","$353,000",0-.25 Acres,"9,147.60",0.21,No,Site Built,0,9/20/2021,1,0,,Yes,8/3/2021,Yes,Yes,3,27703,Yes,No,Durham - Y E Smith,Durham - Southern,Durham - Neal,Durham,No
Andrews Chapel,"2,227",2021,3,3,1,Attached,"$389,014","$387,514",0-.25 Acres,"1,742.40",0.04,No,Site Built,0,9/20/2021,0,2,Yes,Yes,3/6/2021,No,Yes,4,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
